feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-184;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - location);Present throughout the growth increment;;Softwood;IAWA;;62;;;
IFC-185;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - location);Well developed only in earlywood;;Softwood;IAWA;;63;;;
IFC-186;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - location);Well developed only in latewood;;Softwood;IAWA;;64;;;
IFC-187;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - whether single or grouped);Single;;Softwood;IAWA;;65;;;
IFC-188;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - whether single or grouped);Grouped (double or triple);;Softwood;IAWA;;66;;;
IFC-189;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - spacing, earlywood tracheids only);Narrowly spaced (number of coils more than 120 per mm);;Softwood;IAWA;;67;;;
IFC-190;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings (in longitudinal tracheids - spacing, earlywood tracheids only);Widely spaced (number of coils less than 120 per mm);;Softwood;IAWA;;68;;;
IFC-191;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings in ray tracheids;Commonly present;;Softwood;IAWA;;69;;;
IFC-192;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings in ray tracheids;(present but) Rare;;Softwood;IAWA;;70;;;
IFC-193;HELICAL AND OTHER WALL THICKENINGS;Callitroid thickenings;Callitroid thickenings Present;;Softwood;IAWA;;71;;;
IFC-194;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals);Axial parenchyma (excl. epithelial and subsidiary cells of intercellular canals);Present;;Softwood;IAWA;;72;;;
IFC-195;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals);Arrangement of axial parenchyma;Diffuse (evenly scattered throughout the entire growth increment);;Softwood;IAWA;;73;;;
IFC-196;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals);Arrangement of axial parenchyma;Tangentially zonate;;Softwood;IAWA;;74;;;
IFC-197;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals);Arrangement of axial parenchyma;Marginal;;Softwood;IAWA;;75;;;
IFC-198;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals); Transverse end walls of axial parenchyma;Smooth;;Softwood;IAWA;;76;;;
IFC-199;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals); Transverse end walls of axial parenchyma;Irregularly thickened;;Softwood;IAWA;;77;;;
IFC-200;AXIAL PARENCHYMA (excludes epithelial and subsidiary cells of canals); Transverse end walls of axial parenchyma;Beaded or nodular;;Softwood;IAWA;;78;;;
IFC-201;RAY COMPOSITION;Ray tracheids;Commonly present;;Softwood;IAWA;;79;;;
